"k","NCE_TPE","OptimalRITR","Fitness"
0,NA,1,NA
0.05,0.974290899701153,0.17,0.0143147871267856
0.1,0.949870581646674,0.17,0.0286295742535712
0.15,0.926644506579116,0.17,0.0429443613803568
0.2,0.904527161172321,0.17,0.0572591485071424
0.25,0.883441005977947,0.17,0.0715739356339279
0.3,0.863315567171333,0.17,0.0858887227607135
0.35,0.844086649676454,0.17,0.100203509887499
0.4,0.825695653157682,0.17,0.114518297014285
0.45,0.808088975524032,0.17,0.12883308414107
0.5,0.791217491156135,0.17,0.143147871267856
0.55,0.775036093158712,0.17,0.157462658394641
0.6,0.75950329065645,0.17,0.171777445521427
0.65,0.744580853562941,0.17,0.186092232648213
0.7,0.730233498419401,0.17,0.200407019774998
0.75,0.716428609868229,0.17,0.214721806901784
0.8,0.703135993133263,0.17,0.229036594028569
0.85,0.690327653552973,0.17,0.243351381155355
0.9,0.677977599778737,0.17,0.257666168282141
0.95,0.666061667726697,0.17,0.271980955408926
1,0.654557362773963,0.17,0.286295742535712
1.05,0.643443718030808,0.17,0.300610529662497
1.1,0.632701166810076,0.17,0.314925316789283
1.15,0.622311427661851,0.17,0.329240103916069
1.2,0.612257400552369,0.17,0.343554891042854
1.25,0.602523072946886,0.17,0.35786967816964
1.3,0.593093434711505,0.17,0.372184465296425
1.35,0.583954400882725,0.17,0.386499252423211
1.4,0.575092741468931,0.17,0.400814039549997
1.45,0.566496017548034,0.17,0.415128826676782
1.5,0.558152523012125,0.17,0.429443613803568
1.55,0.550051231385401,0.17,0.443758400930353
1.6,0.542181747207297,0.17,0.458073188057139
1.65,0.534534261530062,0.17,0.472387975183924
1.7,0.527099511130202,0.17,0.48670276231071
1.75,0.519868741077158,0.17,0.501017549437496
1.8,0.512833670341188,0.17,0.515332336564281
1.85,0.505986460156425,0.17,0.529647123691067
1.9,0.499319684884977,0.17,0.543961910817852
1.95,0.492826305154406,0.17,0.558276697944638
2,0.486499643064304,0.17,0.572591485071424
2.05,0.480333359278365,0.17,0.586906272198209
2.1,0.474321431836782,0.17,0.601221059324995
2.15,0.468458136540096,0.17,0.61553584645178
2.2,0.462738028770183,0.17,0.629850633578566
2.25,0.457155926627023,0.17,0.644165420705351
2.3,0.451706895271471,0.17,0.658480207832137
2.35,0.446386232374586,0.17,0.672794994958923
2.4,0.441189454583342,0.17,0.687109782085708
2.45,0.436112284920851,0.17,0.701424569212494
2.5,0.431150641046674,0.17,0.715739356339279
