"delta","growth_curve","pred_curve","fitness","NCE_CE"
1,0.1,0.05,0.05,18
0.99,0.1514285704,0.059,0.0924285704,14.3825666033898
0.98,0.198181816218182,0.068,0.130181816218182,11.7914438791444
0.97,0.2408695624,0.077,0.1638695624,9.85883685194805
0.96,0.2799999964,0.086,0.1939999964,8.37209306511627
0.95,0.31599999568,0.095,0.22099999568,7.20000004547368
0.94,0.349230764246154,0.104,0.245230764246154,6.25739649763313
0.93,0.3799999944,0.113,0.2669999944,5.48672571327433
0.92,0.4085714224,0.122,0.2865714224,4.84777522622951
0.91,0.435172407089655,0.131,0.304172407089655,4.31166101458278
0.9,0.4599999928,0.14,0.3199999928,3.85714290857143
0.89,0.483225798787097,0.149,0.334225798787097,3.4682832296168
0.88,0.5049999919,0.158,0.3469999919,3.13291144367088
0.87,0.525454536945455,0.167,0.358454536945455,2.84158959912901
0.86,0.544705873458824,0.176,0.368705873458824,2.58689844625668
0.85,0.5628571336,0.185,0.3778571336,2.36293441297297
0.84,0.5799999904,0.194,0.3859999904,2.16494850309278
0.83,0.596216206291892,0.203,0.393216206291892,1.98908272762615
0.82,0.611578937136842,0.212,0.399578937136842,1.83217482482622
0.81,0.626153835630769,0.221,0.405153835630769,1.69161160348068
0.8,0.6399999892,0.23,0.4099999892,1.56521743826087
0.79,0.653170720643903,0.239,0.414170720643903,1.4511685328707
0.78,0.6657142744,0.248,0.4177142744,1.34792631290322
0.77,0.677674407051163,0.257,0.420674407051163,1.25418518657135
0.76,0.689090897309091,0.266,0.423090897309091,1.16883121312372
0.75,0.699999988,0.275,0.424999988,1.09090913454545
0.74,0.7104347704,0.284,0.4264347704,1.01959587887324
0.73,0.720425519506383,0.293,0.427425519506383,0.954179114312685
0.72,0.7299999874,0.302,0.4279999874,0.894039776821191
0.71,0.739183660685715,0.311,0.428183660685715,0.838637746991271
0.7,0.74799998704,0.32,0.42799998704,0.787500040499998
0.69,0.756470575105883,0.329,0.427470575105883,0.74021101791525
0.68,0.764615371323077,0.338,0.426615371323077,0.696404226854801
0.67,0.772452816739623,0.347,0.425452816739623,0.655755571355553
0.66,0.7799999864,0.356,0.4239999864,0.617977566292134
0.65,0.787272713527273,0.365,0.422272713527273,0.582814483486923
0.64,0.7942857004,0.374,0.4202857004,0.550038234224598
0.63,0.801052617557895,0.383,0.418052617557895,0.51944486277312
0.62,0.807586192744828,0.392,0.415586192744828,0.490851549120337
0.61,0.81389829080678,0.401,0.41289829080678,0.464094037888329
0.6,0.8199999856,0.41,0.4099999856,0.439024425365853
0.59,0.82590162482623,0.419,0.40690162482623,0.41550924862475
0.58,0.831612888593549,0.428,0.403612888593549,0.393427830388905
0.57,0.8371428424,0.437,0.400142842400001,0.37267084118993
0.56,0.84249998515,0.446,0.39649998515,0.353139046748878
0.55,0.847692292738462,0.455,0.392692292738462,0.334742213761622
0.54,0.852727257672728,0.464,0.388727257672728,0.317398151567397
0.53,0.857611925146269,0.473,0.384611925146269,0.301031870726704
0.52,0.862352925929412,0.482,0.380352925929412,0.285574842470099
0.51,0.8669565064,0.491,0.3759565064,0.270964345417514
0.5,0.871428556,0.5,0.371428556,0.257142887999999
0.49,0.875774632371831,0.509,0.366774632371831,0.244057696715459
0.48,0.8799999844,0.518,0.3619999844,0.231660261776061
0.47,0.884109573358904,0.527,0.357109573358905,0.219905932905305
0.46,0.888108092345946,0.536,0.352108092345946,0.20875355905607
0.45,0.89199998416,0.545,0.34699998416,0.198165166678898
0.44,0.895789457768422,0.554,0.341789457768422,0.188105671898156
0.43,0.899480503490909,0.563,0.33648050349091,0.178542622573873
0.42,0.903076907015385,0.572,0.331076907015385,0.16944596675632
0.41,0.906582262349367,0.581,0.325582262349367,0.160787844493343
0.4,0.9099999838,0.59,0.3199999838,0.152542400338982
0.39,0.913333317066667,0.599,0.314333317066667,0.144685614245965
0.38,0.916585349521952,0.608,0.308585349521952,0.137195148812579
0.37,0.919759019749398,0.617,0.302759019749398,0.130050211103083
0.36,0.9228571264,0.626,0.2968571264,0.123231427476038
0.35,0.92588233642353,0.635,0.29088233642353,0.116720730041685
0.34,0.928837192725582,0.644,0.284837192725582,0.110501253531705
0.33,0.931724121296552,0.653,0.278724121296552,0.104557241506046
0.32,0.934545437854546,0.662,0.272545437854546,0.0988739609447947
0.31,0.93730335404045,0.671,0.26630335404045,0.0934376243808496
0.3,0.9399999832,0.68,0.2599999832,0.0882353188235288
0.29,0.942637345784616,0.689,0.253637345784616,0.0832549408060729
0.28,0.945217374400001,0.698,0.247217374400001,0.07848513696275
0.27,0.947741918529033,0.707,0.240741918529033,0.0739152496053286
0.26,0.950212748953192,0.716,0.234212748953192,0.0695352668251509
0.25,0.952631561894737,0.725,0.227631561894737,0.0653357766969142
0.24,0.954999982900001,0.734,0.220999982900001,0.0613079252043589
0.23,0.957319570482475,0.743,0.214319570482475,0.0574433775471403
0.22,0.959591819542858,0.752,0.207591819542858,0.0537342825227958
0.21,0.961818164581819,0.761,0.200818164581819,0.0501732397085169
0.2,0.96399998272,0.77,0.19399998272,0.0467532691948046
0.19,0.966138596538614,0.779,0.187138596538614,0.0434677836474785
0.18,0.968235276752942,0.788,0.180235276752941,0.0403105624962671
0.17,0.970291244730098,0.797,0.173291244730098,0.0372757280676317
0.16,0.972307674861539,0.806,0.166307674861539,0.0343577234968501
0.15,0.974285696800001,0.815,0.159285696800001,0.031551292269938
0.14,0.976226397569812,0.824,0.152226397569812,0.0288514592599372
0.13,0.978130823558879,0.833,0.145130823558879,0.026253513134599
0.12,0.9799999824,0.842,0.1379999824,0.0237529900237525
0.11,0.981834844748624,0.851,0.130834844748625,0.0213456583447422
0.1,0.983636345963637,0.86,0.123636345963637,0.0190275046934456
0.09,0.985405387697298,0.869,0.116405387697298,0.0167947207165732
0.08,0.9871428394,0.878,0.1091428394,0.0146436908883822
0.07,0.988849539745133,0.887,0.101849539745133,0.0125709811216085
0.0599999999999999,0.990526297978948,0.896,0.0945262979789478,0.0105733281484957
0.0499999999999999,0.992173895200001,0.905,0.0871738952000006,0.00864762961325907
0.04,0.993793085572414,0.914,0.0797930855724144,0.00679093482230383
0.03,0.995384597476924,0.923,0.0723845974769235,0.00500043610300808
0.02,0.99694913460339,0.932,0.0649491346033904,0.00327346072597608
0.01,0.998487376988236,0.941,0.0574873769882357,0.00160746334937752
0,0.999999982,0.95,0.0499999820000004,1.894736800205e-08
