"proptime","resource_val","growth_curve","pred_curve","fitness","NCE_CE","mu_g"
1,0,0,0.1,-0.1,10,Inf
0.99,0.01,0.0571428560000001,0.103,-0.045857144,9.15395285436893,1.80250003605
0.98,0.02,0.109090906909091,0.106,0.00309090690909106,8.40480276500857,0.971666686099999
0.97,0.03,0.156521736,0.109,0.0475217360000002,7.7383326972477,0.696388902816666
0.96,0.04,0.199999996,0.112,0.0879999960000003,7.14285717857142,0.5600000112
0.95,0.05,0.2399999952,0.115,0.1249999952,6.60869569391304,0.47916667625
0.94,0.0600000000000001,0.276923071384616,0.118,0.158923071384616,6.12777058148631,0.426111119633333
0.93,0.0700000000000001,0.311111104888889,0.121,0.190111104888889,5.69329665381083,0.388928579207143
0.92,0.08,0.342857136,0.124,0.218857136,5.29953922580645,0.3616666739
0.91,0.09,0.372413785655173,0.127,0.245413785655173,4.94162373499864,0.341018525338889
0.9,0.1,0.399999992,0.13,0.269999992,4.61538467692308,0.3250000065
0.89,0.11,0.425806443096774,0.133,0.292806443096774,4.31724478874606,0.312348491095455
0.88,0.12,0.449999991,0.136,0.313999991,4.04411771323529,0.302222228266667
0.87,0.13,0.472727263272728,0.139,0.333727263272728,3.7933290412034,0.294038467419231
0.86,0.14,0.494117637176471,0.142,0.352117637176471,3.56255185086992,0.287380958128571
0.85,0.15,0.514285704,0.145,0.369285704,3.34975376551724,0.281944450083333
0.84,0.16,0.533333322666667,0.148,0.385333322666667,3.15315322522522,0.27750000555
0.83,0.17,0.551351340324325,0.151,0.400351340324325,2.9711831766601,0.273872554497059
0.82,0.18,0.568421041263158,0.154,0.414421041263158,2.80246077101845,0.270925931344444
0.81,0.19,0.584615372923077,0.157,0.427615372923077,2.64576195590397,0.26855263695
0.8,0.2,0.599999988,0.16,0.439999988,2.500000075,0.266666672
0.79,0.21,0.614634134048781,0.163,0.451634134048781,2.3642077665719,0.265198418002381
0.78,0.22,0.628571416,0.166,0.462571416,2.23752159036144,0.264090914372727
0.77,0.23,0.64186045227907,0.169,0.47286045227907,2.11916892142562,0.263297106715217
0.76,0.24,0.654545441454546,0.172,0.482545441454546,2.00845673572939,0.262777783033333
0.75,0.25,0.666666653333334,0.175,0.491666653333333,1.90476198095238,0.26250000525
0.74,0.26,0.678260856,0.178,0.500260856,1.80752328089887,0.262435902684615
0.73,0.27,0.689361688340426,0.181,0.508361688340426,1.716233766075,0.262561733646296
0.72,0.28,0.699999986,0.184,0.515999986,1.63043485869565,0.262857148114286
0.71,0.29,0.710204067428572,0.187,0.523204067428572,1.54971086936593,0.263304602967241
0.7,0.3,0.7199999856,0.19,0.5299999856,1.47368428631579,0.263888894166667
0.69,0.31,0.729411750117647,0.193,0.536411750117648,1.40201165742152,0.264596779485484
0.68,0.32,0.738461523692308,0.196,0.542461523692308,1.33437998116169,0.265416671975
0.67,0.33,0.747169796377359,0.199,0.548169796377359,1.27050353579217,0.266338389165151
0.66,0.34,0.755555540444445,0.202,0.553555540444445,1.21012108690869,0.267352946523529
0.65,0.35,0.763636348363637,0.205,0.558636348363637,1.15299342261641,0.268452386321429
0.64,0.36,0.771428556,0.208,0.563428556,1.09890117307692,0.269629635022222
0.63,0.37,0.778947352842105,0.211,0.567947352842106,1.04764287752557,0.270878383795946
0.62,0.38,0.786206880827587,0.214,0.572206880827587,0.99903326716081,0.2721929879
0.61,0.39,0.793220323118644,0.217,0.576220323118644,0.95290173678044,0.273568381539744
0.6,0.4,0.799999984,0.22,0.579999984,0.90909098181818,0.2750000055
0.59,0.41,0.806557360918033,0.223,0.583557360918033,0.867455780636623,0.276483745367073
0.58,0.42,0.812903209548387,0.226,0.586903209548387,0.827861904653153,0.27801587857619
0.57,0.43,0.819047602666667,0.229,0.590047602666667,0.790185141193594,0.279593028847674
0.56,0.44,0.8249999835,0.232,0.5929999835,0.754310415948275,0.281212126836364
0.55,0.45,0.830769214153846,0.235,0.595769214153846,0.720131003600654,0.282870376027778
0.54,0.46,0.836363619636364,0.238,0.598363619636364,0.687547816653932,0.284565223082609
0.53,0.47,0.841791027940299,0.241,0.600791027940299,0.6564687637332,0.286294331967021
0.52,0.48,0.847058806588236,0.244,0.603058806588236,0.626808169720346,0.288055561316667
0.51,0.49,0.852173896,0.247,0.605173896,0.598486251012144,0.289846944572449
0.5,0.5,0.85714284,0.25,0.60714284,0.571428639999999,0.2916666725
0.49,0.51,0.861971813746479,0.253,0.608971813746479,0.545565953571228,0.293513077765686
0.48,0.52,0.866666649333334,0.256,0.610666649333334,0.520833401041665,0.295384621292308
0.47,0.53,0.871232859287671,0.259,0.612232859287671,0.497170427460728,0.297279880159434
0.46,0.54,0.875675658162163,0.262,0.613675658162163,0.474520388694036,0.299197536848148
0.45,0.55,0.8799999824,0.265,0.6149999824,0.452830255094338,0.301136369659091
0.44,0.56,0.884210508631579,0.268,0.616210508631579,0.432050340926943,0.303095244157143
0.43,0.57,0.888311670545455,0.271,0.617311670545455,0.412134057027842,0.305073105516667
0.42,0.58,0.892307674461539,0.274,0.618307674461539,0.393037684446939,0.307068971658621
0.41,0.59,0.896202513721519,0.277,0.619202513721519,0.374720167070328,0.309081927085593
0.4,0.6,0.899999982,0.28,0.619999982,0.35714292142857,0.311111117333333
0.39,0.61,0.90370368562963,0.283,0.62070368562963,0.340269662086113,0.313155743968033
0.38,0.62,0.907317055024391,0.286,0.621317055024391,0.324066241173459,0.315215060067742
0.37,0.63,0.910843355277109,0.289,0.621843355277109,0.30850050077125,0.317288366134127
0.36,0.64,0.914285696,0.292,0.622285696,0.2935421369863,0.3193750063875
0.35,0.65,0.917647040470589,0.295,0.622647040470589,0.279162574675971,0.321474365403846
0.34,0.66,0.920930214139535,0.298,0.622930214139535,0.265334851880755,0.323585865057576
0.33,0.67,0.924137912551725,0.301,0.623137912551725,0.252033513117194,0.32570896173806
0.32,0.68,0.927272708727273,0.304,0.623272708727273,0.239234510765549,0.327843143811765
0.31,0.69,0.930337060044944,0.307,0.623337060044944,0.226915113860116,0.329987929305072
0.3,0.7,0.933333314666667,0.31,0.623333314666667,0.215053823655913,0.332142863785714
0.29,0.71,0.936263717538462,0.313,0.623263717538462,0.203630295404275,0.334307518423239
0.28,0.72,0.939130416,0.316,0.623130416,0.192625265822783,0.336481488211111
0.27,0.73,0.941935465032258,0.319,0.622935465032258,0.182020485792293,0.338664390334932
0.26,0.74,0.944680832170213,0.322,0.622680832170213,0.171798657856481,0.340855862672973
0.25,0.75,0.947368402105264,0.325,0.622368402105263,0.161943378137651,0.343055562416667
0.24,0.76,0.949999981,0.328,0.621999981,0.152439082317072,0.3452631648
0.23,0.77,0.952577300536083,0.331,0.621577300536083,0.143270995359266,0.347478361927922
0.22,0.78,0.955102021714286,0.334,0.621102021714286,0.134425084687766,0.349700861694872
0.21,0.79,0.957575738424243,0.337,0.620575738424243,0.125888016545274,0.351930386785443
0.2,0.8,0.9599999808,0.34,0.6199999808,0.117647115294117,0.35416667375
0.19,0.81,0.962376218376238,0.343,0.619376218376238,0.109690325433709,0.356409472148766
0.18,0.82,0.964705863058824,0.346,0.618705863058824,0.102006176130567,0.358658543758537
0.17,0.83,0.966990271922331,0.349,0.61799027192233,0.0945837480735514,0.360913661836747
0.16,0.84,0.969230749846154,0.352,0.617230749846154,0.0874126424825168,0.363174610438095
0.15,0.85,0.971428552,0.355,0.616428552,0.0804829521126748,0.365441183779412
0.14,0.86,0.97358488618868,0.358,0.615584886188679,0.0737852341098336,0.367713185648837
0.13,0.87,0.975700915065421,0.361,0.614700915065421,0.0673104845833213,0.369990428855747
0.12,0.88,0.977777758222223,0.364,0.613777758222223,0.0610501147741138,0.372272734718182
0.11,0.89,0.979816494165138,0.367,0.612816494165138,0.0549959287053459,0.374559932584832
0.1,0.9,0.981818162181819,0.37,0.611818162181819,0.049140102211301,0.376851859388889
0.09,0.91,0.983783764108109,0.373,0.610783764108109,0.0434751632490385,0.379148359231319
0.08,0.92,0.985714266,0.376,0.609714266,0.0379939734042541,0.381449282991304
0.07,0.93,0.987610599716815,0.379,0.608610599716815,0.0326897105097239,0.383754487961828
0.0599999999999999,0.94,0.989473664421053,0.382,0.607473664421053,0.0275558523009081,0.386063837508511
0.0499999999999999,0.95,0.991304328000001,0.385,0.606304328,0.0225861610389596,0.38837720075
0.04,0.96,0.993103428413794,0.388,0.605103428413793,0.0177746690366147,0.390694452258333
0.03,0.97,0.994871774974359,0.391,0.603871774974359,0.0131156650272141,0.393015471777835
0.02,0.98,0.996610149559322,0.394,0.602610149559322,0.00860368132151683,0.395340143961225
0.01,0.99,0.998319307764706,0.397,0.601319307764706,0.00423348170099186,0.397668358121717
0,1,0.99999998,0.4,0.59999998,4.99999991410149e-08,0.400000008
