"proptime","growth_curve","mort_curve","fitness","NCE_CE","mu_g"
0,1,0.4,0.6,2.5,0.4
0.01,0.994065696597406,0.396,0.598065696597406,2.51026691059951,0.398364012917326
0.02,0.988131393194812,0.392,0.596131393194812,2.52074334998676,0.396708375727839
0.03,0.982197089792218,0.388,0.594197089792218,2.53143579843355,0.395032732261588
0.04,0.976262786389624,0.384,0.592262786389624,2.54235100622298,0.393336717688578
0.0499999999999999,0.97032848298703,0.38,0.59032848298703,2.55349600786061,0.391619958253951
0.0599999999999999,0.964394179584436,0.376,0.588394179584436,2.56487813719265,0.389882071003395
0.07,0.958459876181842,0.372,0.586459876181842,2.57650504349958,0.388122663498355
0.08,0.952525572779248,0.368,0.584525572779248,2.58838470863926,0.386341333520592
0.09,0.946591269376654,0.364,0.582591269376654,2.60052546532048,0.384537668765633
0.1,0.94065696597406,0.36,0.58065696597406,2.61293601659461,0.382711246524621
0.11,0.934722662571466,0.356,0.578722662571466,2.62562545666142,0.380861633354034
0.12,0.928788359168872,0.352,0.576788359168872,2.63860329309339,0.378988384732759
0.13,0.922854055766278,0.348,0.574854055766278,2.65187947059275,0.377091044705919
0.14,0.916919752363684,0.344,0.572919752363684,2.66546439640606,0.375169145514882
0.15,0.91098544896109,0.34,0.57098544896109,2.67936896753262,0.373222207212798
0.16,0.905051145558496,0.336,0.569051145558496,2.69360459987648,0.371249737265023
0.17,0.899116842155902,0.332,0.567116842155902,2.70818325950573,0.369251230133706
0.18,0.893182538753308,0.328,0.565182538753308,2.72311749619911,0.367226166845825
0.19,0.887248235350714,0.324,0.563248235350714,2.73842047947751,0.365174014543887
0.2,0.88131393194812,0.32,0.56131393194812,2.75410603733787,0.363094226018473
0.21,0.875379628545526,0.316,0.559379628545526,2.77018869792888,0.360986239221771
0.22,0.869445325142932,0.312,0.557445325142932,2.78668373443247,0.358849476761186
0.23,0.863511021740338,0.308,0.555511021740338,2.80360721344265,0.356683345372072
0.24,0.857576718337744,0.304,0.553576718337744,2.82097604716363,0.354487235368573
0.25,0.85164241493515,0.3,0.55164241493515,2.83880804978383,0.352260520071495
0.26,0.845708111532556,0.296,0.549708111532556,2.8571219984208,0.350002555212107
0.27,0.839773808129962,0.292,0.547773808129962,2.87593769907521,0.347712678310647
0.28,0.833839504727368,0.288,0.545839504727368,2.89527605808114,0.3453902080283
0.29,0.827905201324774,0.284,0.543905201324774,2.91515915959427,0.343034443491304
0.3,0.82197089792218,0.28,0.54197089792218,2.93561034972207,0.340644663585777
0.31,0.816036594519586,0.276,0.540036594519586,2.95665432796951,0.338220126221773
0.32,0.810102291116992,0.272,0.538102291116992,2.97831724675365,0.335760067564997
0.33,0.804167987714398,0.268,0.536167987714398,3.00062681982984,0.3332637012345
0.34,0.798233684311804,0.264,0.534233684311804,3.02361244057501,0.330730217464585
0.35,0.79229938090921,0.26,0.53229938090921,3.04730531118927,0.328158782229054
0.36,0.786365077506616,0.256,0.530365077506616,3.07173858401022,0.325548536325796
0.37,0.780430774104022,0.252,0.528430774104022,3.0969475162858,0.322898594419614
0.38,0.774496470701428,0.248,0.526496470701428,3.12296963992511,0.320208044041049
0.39,0.768562167298834,0.244,0.524562167298834,3.14984494794604,0.31747594453882
0.4,0.76262786389624,0.24,0.52262786389624,3.17761609956767,0.314701325983355
0.41,0.756693560493646,0.236,0.520693560493646,3.20632864615952,0.311883188018727
0.42,0.750759257091052,0.232,0.518759257091052,3.23603128056488,0.309020498660149
0.43,0.744824953688458,0.228,0.516824953688457,3.26677611266867,0.306112193033972
0.44,0.738890650285864,0.224,0.514890650285864,3.29861897449046,0.303157172056973
0.45,0.73295634688327,0.22,0.51295634688327,3.33161975856032,0.300154301051488
0.46,0.727022043480676,0.216,0.511022043480676,3.36584279389202,0.297102408292716
0.47,0.721087740078082,0.212,0.509087740078082,3.40135726451925,0.294000283484287
0.48,0.715153436675488,0.208,0.507153436675488,3.43823767632446,0.290846676157949
0.49,0.709219133272894,0.204,0.505219133272893,3.47656437878869,0.287640293992893
0.5,0.7032848298703,0.2,0.5032848298703,3.5164241493515,0.284379801050002
0.51,0.697350526467706,0.196,0.501350526467706,3.55791084932503,0.281063815915936
0.52,0.691416223065112,0.192,0.499416223065112,3.60112616179746,0.277690909751649
0.53,0.685481919662517,0.188,0.497481919662517,3.6461804237368,0.274259604239537
0.54,0.679547616259924,0.184,0.495547616259924,3.69319356663002,0.270768369423021
0.55,0.67361331285733,0.18,0.49361331285733,3.74229618254072,0.267215621431941
0.56,0.667679009454735,0.176,0.491679009454735,3.79363073553827,0.26359972008665
0.57,0.661744706052141,0.172,0.489744706052141,3.84735294216361,0.259918966373185
0.58,0.655810402649547,0.168,0.487810402649547,3.90363334910445,0.256171599781372
0.59,0.649876099246954,0.164,0.485876099246954,3.96265914174972,0.252355795497073
0.6,0.64394179584436,0.16,0.483941795844359,4.02463622402725,0.248469661439202
0.61,0.638007492441765,0.156,0.482007492441765,4.08979161821644,0.244511235131363
0.62,0.632073189039172,0.152,0.480073189039172,4.15837624367876,0.240478480397276
0.63,0.626138885636577,0.148,0.478138885636577,4.23066814619309,0.236369283868279
0.64,0.620204582233983,0.144,0.476204582233983,4.30697626551377,0.232181451290331
0.65,0.61427027883139,0.14,0.47427027883139,4.38764484879564,0.227912703616951
0.66,0.608335975428796,0.136,0.472335975428796,4.47305864285879,0.22356067287347
0.67,0.602401672026201,0.132,0.470401672026201,4.56364903050152,0.219122897776849
0.68,0.596467368623607,0.128,0.468467368623607,4.65990131737193,0.214596819094009
0.69,0.590533065221013,0.124,0.466533065221013,4.76236342920172,0.209979774720306
0.7,0.584598761818419,0.12,0.464598761818419,4.87165634848683,0.205268994458242
0.71,0.578664458415825,0.116,0.462664458415825,4.98848671048125,0.200461594474916
0.72,0.572730155013231,0.112,0.460730155013231,5.11366209833242,0.195554571414897
0.73,0.566795851610637,0.108,0.458795851610637,5.24810973713553,0.19054479614327
0.74,0.560861548208043,0.104,0.456861548208043,5.39289950200042,0.185429007091466
0.75,0.554927244805449,0.1,0.454927244805449,5.54927244805449,0.180203803176142
0.76,0.548992941402855,0.096,0.452992941402855,5.71867647294641,0.174865636258799
0.77,0.543058638000261,0.092,0.451058638000261,5.90281128261154,0.169410803111018
0.78,0.537124334597667,0.088,0.449124334597667,6.10368562042804,0.163835436847069
0.79,0.531190031195073,0.084,0.447190031195073,6.3236908475604,0.158135497782247
0.8,0.525255727792479,0.08,0.445255727792479,6.56569659740599,0.152306763671517
0.81,0.519321424389885,0.076,0.443321424389885,6.83317663670902,0.146344819278902
0.82,0.513387120987291,0.072,0.441387120987291,7.13037668037905,0.140245045223451
0.83,0.507452817584697,0.068,0.439452817584697,7.46254143506908,0.134002606042581
0.84,0.501518514182103,0.064,0.437518514182103,7.83622678409536,0.127612437407966
0.85,0.495584210779509,0.06,0.435584210779509,8.25973684632515,0.121069232422933
0.86,0.489649907376915,0.056,0.433649907376915,8.74374834601634,0.114367426923443
0.87,0.483715603974321,0.052,0.431715603974321,9.30222315335233,0.107501183697106
0.88,0.477781300571727,0.048,0.429781300571727,9.95377709524432,0.100464375526128
0.89,0.471846997169133,0.044,0.427846997169133,10.7237953902076,0.0932505669506851
0.9,0.465912693766539,0.04,0.425912693766539,11.6478173441635,0.0858529946386121
0.91,0.459978390363945,0.036,0.423978390363945,12.7771775101096,0.0782645462355655
0.92,0.454044086961351,0.032,0.422044086961351,14.1888777175422,0.070477737556626
0.93,0.448109783558757,0.028,0.420109783558757,16.0039208413842,0.0624846879655967
0.94,0.442175480156163,0.024,0.418175480156163,18.4239783398401,0.0542770937717395
0.95,0.436241176753569,0.02,0.416241176753569,21.8120588376784,0.045846199455165
0.96,0.430306873350975,0.016,0.414306873350975,26.8941795844359,0.0371827665112609
0.97,0.424372569948381,0.012,0.412372569948381,35.3643808290317,0.0282770396810982
0.98,0.418438266545787,0.00800000000000001,0.410438266545787,52.3047833182234,0.0191187103083093
0.99,0.412503963143193,0.004,0.408503963143193,103.125990785798,0.00969687653306613
1,0.406569659740599,0,0.406569659740599,Inf,0
